日付,摘要,出金額（円）
2026-05-01,アスクル,14200
2026-05-01,アマゾン ウエブ サービス（AWS）,12340
2026-05-01,スターバックス コーヒー,1000
2026-05-01,住民税 特別徴収 納付,41000
2026-05-02,税理士会 会費,40500
2026-05-03,GO タクシー,3020
2026-05-03,マクドナルド,12800
2026-05-03,モバイルSuica オートチャージ,9980
2026-05-04,NTTドコモ,7440
2026-05-05,ドトールコーヒー,1230
2026-05-06,AMAZON.CO.JP,165000
2026-05-06,ANTHROPIC CLAUDE.AI,17130
2026-05-06,モノタロウ,7330
2026-05-07,PAYPAL手数料,840
2026-05-07,STRIPE 決済手数料,2080
2026-05-08,出光興産,7220
2026-05-09,AMAZON.CO.JP,6250
2026-05-09,GO タクシー,1470
2026-05-09,セブンイレブン,1340
2026-05-10,Kindle書籍,2470
2026-05-10,コワーキングスペースBASE,22000
2026-05-10,タリーズコーヒー,1400
2026-05-11,ANTHROPIC CLAUDE.AI,13280
2026-05-11,バーチャルオフィス月額,5500
2026-05-11,給与振込 5月分,820000
2026-05-12,セブンイレブン,1420
2026-05-12,日本政策金融公庫 返済,55000
2026-05-12,社会保険料 口座振替,138000
2026-05-13,JAL,23400
2026-05-13,アスクル,4060
2026-05-13,エックスサーバー,1930
2026-05-14,Chatwork,1620
2026-05-14,FIGMA,3190
2026-05-14,GOOGLE ADS,55000
2026-05-14,NOTION LABS,3020
2026-05-16,GO タクシー,3000
2026-05-16,GOOGLE ADS,68000
2026-05-16,STRIPE 決済手数料,3220
2026-05-17,MICROSOFT 365,2470
2026-05-17,ファミリーマート,2020
2026-05-17,ヨドバシカメラ,1800
2026-05-19,チョコザップ,3278
2026-05-19,業務スーパー,4320
2026-05-20,モノタロウ,8590
2026-05-21,モバイルSuica オートチャージ,8660
2026-05-21,振込手数料,330
2026-05-22,ゴールドカード 年会費,22000
2026-05-22,ラクスル,2590
2026-05-23,UBER TRIP,2740
2026-05-23,お名前.com,2580
2026-05-24,ANA,37080
2026-05-24,UDEMY,27800
2026-05-24,出光興産,6370
2026-05-25,NTTドコモ,7030
2026-05-25,クラウドサイン,11000
2026-05-25,振込手数料,360
2026-05-26,スマートEX,6200
2026-05-27,OPENAI CHATGPT,3120
2026-05-27,PR TIMES,33000
2026-05-27,SLACK,2580
2026-05-27,ZOOM.US,2700
2026-05-27,カインズ,5170
2026-05-27,モバイルSuica オートチャージ,6190
2026-05-27,ローソン,590
2026-05-28,ファミリーマート,1940
2026-05-28,レターパック,600
2026-05-29,ENEOS セルフ,5510
2026-05-29,GOOGLE WORKSPACE,2450
2026-05-29,ヨドバシカメラ,15010
2026-05-31,スマートEX,7130
2026-06-01,AMAZON.CO.JP,27160
2026-06-03,INDEED,48240
2026-06-03,アスクル,6330
2026-06-03,ファミリーマート,1740
2026-06-03,モバイルSuica オートチャージ,5580
