日付,借方科目,借方金額,貸方科目,貸方金額,摘要
2025-07-05,通信費,24800,普通預金,24800,インターネット・電話料金 2025年7月分
2025-07-10,買掛金,450000,普通預金,450000,2025年6月分仕入代金支払 ㈱ヤマブキ卸
2025-07-10,外注費,33000,普通預金,33000,2025年7月分オフィスクリーニング ㈱クリンサポート
2025-07-10,旅費交通費,11180,普通預金,11180,新幹線代 東京出張
2025-07-10,預り金,50520,普通預金,50520,源泉所得税納付 2025年1月～6月分（納期特例）
2025-07-12,広告宣伝費,22000,普通預金,22000,Web広告費 2025年7月分
2025-07-13,新聞図書費,2520,普通預金,2520,書籍代
2025-07-17,旅費交通費,2700,普通預金,2700,タクシー代
2025-07-21,通信費,1780,普通預金,1780,レターパック代
2025-07-22,消耗品費,2270,普通預金,2270,Amazon 事務用品
2025-07-25,給料手当,291580,普通預金,291580,2025年7月分給与 差引支給額
2025-07-25,給料手当,8420,預り金,8420,2025年7月分給与 源泉所得税
2025-07-27,支払利息,3000,普通預金,3000,借入金利息 2025年7月分
2025-07-27,長期借入金,50000,普通預金,50000,借入金返済 2025年7月分
2025-07-27,交際費,31380,普通預金,31380,取引先会食
2025-07-28,地代家賃,100000,普通預金,100000,事務所家賃 2025年8月分
2025-07-31,普通預金,450000,売掛金,450000,2025年6月分売掛金入金 コハク物産㈱
2025-07-31,普通預金,220000,売掛金,220000,2025年6月分売掛金入金 ツバキ工房
2025-07-31,普通預金,380000,売掛金,380000,2025年6月分売掛金入金 ㈱アオゾラ企画
2025-07-31,普通預金,600000,売掛金,600000,2025年6月分売掛金入金 ㈱シラカバ堂
2025-07-31,仕入高,450000,買掛金,450000,2025年7月分仕入 ㈱ヤマブキ卸
2025-07-31,売掛金,450000,売上高,450000,2025年7月分売上 コハク物産㈱
2025-07-31,売掛金,220000,売上高,220000,2025年7月分売上 ツバキ工房
2025-07-31,売掛金,380000,売上高,380000,2025年7月分売上 ㈱アオゾラ企画
2025-07-31,売掛金,600000,売上高,600000,2025年7月分売上 ㈱シラカバ堂
2025-07-31,支払手数料,880,普通預金,880,振込手数料
2025-07-31,未払金,45000,普通預金,45000,社会保険料 2025年6月分支払
2025-07-31,法定福利費,45000,未払金,45000,社会保険料 2025年7月分
2025-08-05,通信費,24800,普通預金,24800,インターネット・電話料金 2025年8月分
2025-08-10,買掛金,450000,普通預金,450000,2025年7月分仕入代金支払 ㈱ヤマブキ卸
2025-08-10,外注費,33000,普通預金,33000,2025年8月分オフィスクリーニング ㈱クリンサポート
2025-08-11,旅費交通費,16900,普通預金,16900,新幹線代 東京出張
2025-08-12,広告宣伝費,22000,普通預金,22000,Web広告費 2025年8月分
2025-08-12,消耗品費,3040,普通預金,3040,アスクル 事務用品
2025-08-13,消耗品費,14060,普通預金,14060,Amazon 事務用品
2025-08-14,通信費,1640,普通預金,1640,レターパック代
2025-08-20,会議費,2180,普通預金,2180,打合せ喫茶代
2025-08-23,旅費交通費,2360,普通預金,2360,タクシー代
2025-08-25,給料手当,291580,普通預金,291580,2025年8月分給与 差引支給額
2025-08-25,給料手当,8420,預り金,8420,2025年8月分給与 源泉所得税
2025-08-27,支払利息,3000,普通預金,3000,借入金利息 2025年8月分
2025-08-27,長期借入金,50000,普通預金,50000,借入金返済 2025年8月分
2025-08-28,地代家賃,100000,普通預金,100000,事務所家賃 2025年9月分
2025-08-31,普通預金,450000,売掛金,450000,2025年7月分売掛金入金 コハク物産㈱
2025-08-31,普通預金,220000,売掛金,220000,2025年7月分売掛金入金 ツバキ工房
2025-08-31,普通預金,380000,売掛金,380000,2025年7月分売掛金入金 ㈱アオゾラ企画
2025-08-31,普通預金,600000,売掛金,600000,2025年7月分売掛金入金 ㈱シラカバ堂
2025-08-31,仕入高,450000,買掛金,450000,2025年8月分仕入 ㈱ヤマブキ卸
2025-08-31,売掛金,450000,売上高,450000,2025年8月分売上 コハク物産㈱
2025-08-31,売掛金,220000,売上高,220000,2025年8月分売上 ツバキ工房
2025-08-31,売掛金,380000,売上高,380000,2025年8月分売上 ㈱アオゾラ企画
2025-08-31,売掛金,600000,売上高,600000,2025年8月分売上 ㈱シラカバ堂
2025-08-31,支払手数料,880,普通預金,880,振込手数料
2025-08-31,未払金,45000,普通預金,45000,社会保険料 2025年7月分支払
2025-08-31,法定福利費,45000,未払金,45000,社会保険料 2025年8月分
2025-09-05,通信費,24800,普通預金,24800,インターネット・電話料金 2025年9月分
2025-09-08,消耗品費,5410,普通預金,5410,アスクル 事務用品
2025-09-09,旅費交通費,8990,普通預金,8990,新幹線代 東京出張
2025-09-10,買掛金,450000,普通預金,450000,2025年8月分仕入代金支払 ㈱ヤマブキ卸
2025-09-10,外注費,33000,普通預金,33000,2025年9月分オフィスクリーニング ㈱クリンサポート
2025-09-12,広告宣伝費,22000,普通預金,22000,Web広告費 2025年9月分
2025-09-12,会議費,4300,現金,4300,打合せ喫茶代
2025-09-19,会議費,1580,普通預金,1580,打合せ喫茶代
2025-09-23,交際費,15460,普通預金,15460,取引先会食
2025-09-25,給料手当,291580,普通預金,291580,2025年9月分給与 差引支給額
2025-09-25,給料手当,8420,預り金,8420,2025年9月分給与 源泉所得税
2025-09-25,消耗品費,3920,普通預金,3920,Amazon 事務用品
2025-09-27,支払利息,3000,普通預金,3000,借入金利息 2025年9月分
2025-09-27,長期借入金,50000,普通預金,50000,借入金返済 2025年9月分
2025-09-27,新聞図書費,3660,普通預金,3660,書籍代
2025-09-28,地代家賃,100000,普通預金,100000,事務所家賃 2025年10月分
2025-09-30,普通預金,450000,売掛金,450000,2025年8月分売掛金入金 コハク物産㈱
2025-09-30,普通預金,220000,売掛金,220000,2025年8月分売掛金入金 ツバキ工房
2025-09-30,普通預金,380000,売掛金,380000,2025年8月分売掛金入金 ㈱アオゾラ企画
2025-09-30,普通預金,600000,売掛金,600000,2025年8月分売掛金入金 ㈱シラカバ堂
2025-09-30,仕入高,450000,買掛金,450000,2025年9月分仕入 ㈱ヤマブキ卸
2025-09-30,売掛金,450000,売上高,450000,2025年9月分売上 コハク物産㈱
2025-09-30,売掛金,220000,売上高,220000,2025年9月分売上 ツバキ工房
2025-09-30,売掛金,380000,売上高,380000,2025年9月分売上 ㈱アオゾラ企画
2025-09-30,売掛金,600000,売上高,600000,2025年9月分売上 ㈱シラカバ堂
2025-09-30,支払手数料,880,普通預金,880,振込手数料
2025-09-30,未払金,45000,普通預金,45000,社会保険料 2025年8月分支払
2025-09-30,法定福利費,45000,未払金,45000,社会保険料 2025年9月分
2025-10-05,通信費,24800,普通預金,24800,インターネット・電話料金 2025年10月分
2025-10-05,広告宣伝費,300000,普通預金,300000,創業祭 記念広告 タウン情報誌
