勘定科目,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,合計
売上高,1650000,1650000,1650000,1930000,1650000,1650000,1650000,1970000,1650000,1650000,1650000,2550000,21300000
仕入高,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,0,4950000
給料手当,300000,300000,300000,300000,300000,600000,300000,300000,300000,300000,300000,300000,3900000
法定福利費,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,0,495000
地代家賃,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,1200000
外注費,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,66000,429000
広告宣伝費,22000,22000,22000,322000,22000,22000,22000,22000,22000,22000,22000,22000,564000
通信費,26580,26440,24800,24800,26390,26220,25630,24800,25920,26720,25510,157350,441160
旅費交通費,13880,19260,8990,25420,21370,14470,24540,2170,22900,12970,3800,0,169770
会議費,0,2180,5880,1900,2280,0,0,1450,1760,7780,2450,2860,28540
交際費,31380,0,15460,23660,0,26730,15330,39800,35900,0,44440,42010,274710
消耗品費,2270,17100,9330,7490,21400,15110,11730,9740,289910,18030,87790,16400,506300
新聞図書費,2520,0,3660,2170,4970,0,3020,2880,0,1940,4640,2090,27890
雑費,0,0,0,0,8800,0,0,0,0,0,0,0,8800
支払手数料,880,880,880,880,880,880,880,880,880,880,880,880,10560
支払利息,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,36000
