勘定科目,区分,繰越残高(2025-06-30),借方計(期中),貸方計(期中),残高(2026-06-30)
現金,BS,50000,100000,90780,59220
普通預金,BS,3200000,19860000,14833950,8226050
売掛金,BS,1650000,20700000,19260000,3090000
未収入金,BS,0,0,12000,-12000
仮払金,BS,0,100000,0,100000
役員貸付金,BS,0,600000,0,600000
買掛金,BS,-450000,5400000,4950000,0
未払金,BS,-45000,540000,495000,0
預り金,BS,-50520,111040,111040,-50520
長期借入金,BS,-1800000,600000,0,-1200000
資本金,BS,-1000000,0,0,-1000000
繰越利益剰余金,BS,-1554480,0,0,-1554480
売上高,PL,0,0,21300000,-21300000
仕入高,PL,0,4950000,0,4950000
給料手当,PL,0,3900000,0,3900000
法定福利費,PL,0,495000,0,495000
地代家賃,PL,0,1200000,0,1200000
外注費,PL,0,429000,0,429000
広告宣伝費,PL,0,564000,0,564000
通信費,PL,0,441160,0,441160
旅費交通費,PL,0,169770,0,169770
会議費,PL,0,28540,0,28540
交際費,PL,0,274710,0,274710
消耗品費,PL,0,506300,0,506300
新聞図書費,PL,0,27890,0,27890
雑費,PL,0,8800,0,8800
支払手数料,PL,0,10560,0,10560
支払利息,PL,0,36000,0,36000
